ML,0.02, MR,0.46, Pitch,3.68, Yaw,100000026.4, Roll,-0.31, Distance,-0.13275, X,-0.13276, Y,0.00176, Angle,-0.97
ML,0.19, MR,0.45, Pitch,3.8, Yaw,100000026.31, Roll,-0.3, Distance,-0.1316, X,-0.13161, Y,0.00174, Angle,-0.51
ML,-0.19, MR,1.3, Pitch,3.75, Yaw,100000025.85, Roll,-0.3, Distance,-0.13115, X,-0.13115, Y,0.00174, Angle,-0.28
ML,1.07, MR,1.99, Pitch,3.92, Yaw,100000025.74, Roll,-0.29, Distance,-0.13046, X,-0.13047, Y,0.00174, Angle,0.06
ML,0.8, MR,3.38, Pitch,3.87, Yaw,100000025.19, Roll,-0.29, Distance,-0.1292, X,-0.12921, Y,0.00175, Angle,0.57
ML,0.84, MR,3.71, Pitch,3.86, Yaw,100000024.66, Roll,-0.28, Distance,-0.12805, X,-0.12806, Y,0.00176, Angle,1.02
ML,-0.18, MR,1.52, Pitch,3.67, Yaw,100000024.76, Roll,-0.28, Distance,-0.12611, X,-0.12612, Y,0.0018, Angle,0.74
ML,1.55, MR,2.18, Pitch,3.75, Yaw,100000025.11, Roll,-0.27, Distance,-0.12565, X,-0.12566, Y,0.0018, Angle,0.51
ML,1.84, MR,2.26, Pitch,3.86, Yaw,100000025.48, Roll,-0.26, Distance,-0.12439, X,-0.1244, Y,0.00181, Angle,0
ML,3.3, MR,2.52, Pitch,3.9, Yaw,100000026.1, Roll,-0.26, Distance,-0.12313, X,-0.12314, Y,0.0018, Angle,-0.62
ML,-0.36, MR,-0.58, Pitch,3.55, Yaw,100000026.28, Roll,-0.26, Distance,-0.12015, X,-0.12016, Y,0.00176, Angle,-0.51
ML,0.97, MR,2.38, Pitch,3.69, Yaw,100000025.96, Roll,-0.26, Distance,-0.12015, X,-0.12016, Y,0.00176, Angle,-0.28
ML,-0.31, MR,0.47, Pitch,3.76, Yaw,100000025.84, Roll,-0.26, Distance,-0.11809, X,-0.1181, Y,0.00176, Angle,-0.17
ML,2.8, MR,3.12, Pitch,3.84, Yaw,100000026.09, Roll,-0.25, Distance,-0.11774, X,-0.11775, Y,0.00175, Angle,-0.45
ML,2.07, MR,2.62, Pitch,3.64, Yaw,100000025.91, Roll,-0.25, Distance,-0.1166, X,-0.11661, Y,0.00175, Angle,-0.34
ML,-2.04, MR,-1.16, Pitch,3.51, Yaw,100000025.85, Roll,-0.25, Distance,-0.11419, X,-0.1142, Y,0.00173, Angle,-0.28
ML,0.31, MR,0.45, Pitch,3.69, Yaw,100000026.02, Roll,-0.25, Distance,-0.11408, X,-0.11409, Y,0.00173, Angle,-0.34
ML,2.81, MR,3.45, Pitch,4.01, Yaw,100000025.97, Roll,-0.25, Distance,-0.11396, X,-0.11398, Y,0.00173, Angle,-0.4
ML,2.64, MR,2.47, Pitch,4.07, Yaw,100000026.24, Roll,-0.25, Distance,-0.11156, X,-0.11157, Y,0.00171, Angle,-0.57
ML,3.97, MR,4.24, Pitch,3.71, Yaw,100000026.18, Roll,-0.25, Distance,-0.10973, X,-0.10974, Y,0.00169, Angle,-0.57
ML,0.48, MR,1.08, Pitch,3.3, Yaw,100000025.95, Roll,-0.26, Distance,-0.10789, X,-0.1079, Y,0.00168, Angle,-0.57
ML,-2.85, MR,-2.82, Pitch,3.36, Yaw,100000026.16, Roll,-0.26, Distance,-0.10652, X,-0.10653, Y,0.00166, Angle,-0.57
ML,0.83, MR,-0.12, Pitch,3.82, Yaw,100000026.61, Roll,-0.25, Distance,-0.10675, X,-0.10676, Y,0.00166, Angle,-0.91
ML,0.38, MR,1.75, Pitch,3.79, Yaw,100000026.1, Roll,-0.26, Distance,-0.10549, X,-0.1055, Y,0.00165, Angle,-0.4
ML,2.4, MR,2.9, Pitch,3.94, Yaw,100000025.93, Roll,-0.25, Distance,-0.10526, X,-0.10527, Y,0.00165, Angle,-0.28
ML,-1.1, MR,0.81, Pitch,3.64, Yaw,100000025.45, Roll,-0.26, Distance,-0.10251, X,-0.10252, Y,0.00165, Angle,0.17
ML,3.01, MR,2.54, Pitch,3.92, Yaw,100000025.85, Roll,-0.25, Distance,-0.10263, X,-0.10264, Y,0.00165, Angle,-0.23
ML,0.44, MR,3.61, Pitch,3.84, Yaw,100000024.9, Roll,-0.25, Distance,-0.10022, X,-0.10023, Y,0.00167, Angle,0.97
ML,1.81, MR,3, Pitch,3.71, Yaw,100000025.12, Roll,-0.26, Distance,-0.0985, X,-0.09851, Y,0.0017, Angle,0.45
ML,1.89, MR,2.52, Pitch,3.57, Yaw,100000025.28, Roll,-0.26, Distance,-0.09701, X,-0.09702, Y,0.00171, Angle,0.17
ML,-1.27, MR,1.19, Pitch,3.67, Yaw,100000024.86, Roll,-0.26, Distance,-0.09495, X,-0.09496, Y,0.00173, Angle,0.74
ML,1.97, MR,1.83, Pitch,3.82, Yaw,100000025.54, Roll,-0.25, Distance,-0.09323, X,-0.09324, Y,0.00173, Angle,0.11
ML,2.83, MR,4.34, Pitch,3.73, Yaw,100000025.38, Roll,-0.25, Distance,-0.09197, X,-0.09198, Y,0.00174, Angle,0.28
ML,1.07, MR,1.56, Pitch,3.48, Yaw,100000025.55, Roll,-0.27, Distance,-0.08945, X,-0.08947, Y,0.00175, Angle,0.17
ML,-1.51, MR,-0.73, Pitch,3.44, Yaw,100000025.56, Roll,-0.27, Distance,-0.08785, X,-0.08786, Y,0.00175, Angle,-0.06
ML,-0.22, MR,0.67, Pitch,3.73, Yaw,100000025.61, Roll,-0.27, Distance,-0.08625, X,-0.08626, Y,0.00175, Angle,0.06
ML,1.33, MR,1.54, Pitch,3.74, Yaw,100000025.8, Roll,-0.27, Distance,-0.08407, X,-0.08408, Y,0.00174, Angle,-0.11
ML,2.33, MR,3.67, Pitch,3.69, Yaw,100000025.71, Roll,-0.28, Distance,-0.0827, X,-0.08271, Y,0.00174, Angle,0
ML,-0.73, MR,-0.35, Pitch,3.45, Yaw,100000025.83, Roll,-0.28, Distance,-0.07972, X,-0.07973, Y,0.00174, Angle,-0.11
ML,1.6, MR,1.97, Pitch,3.75, Yaw,100000025.95, Roll,-0.28, Distance,-0.07915, X,-0.07916, Y,0.00174, Angle,-0.17
ML,1.34, MR,3.14, Pitch,3.6, Yaw,100000025.57, Roll,-0.29, Distance,-0.0772, X,-0.07721, Y,0.00174, Angle,0.23
ML,-0.57, MR,0.26, Pitch,3.43, Yaw,100000025.6, Roll,-0.3, Distance,-0.07582, X,-0.07584, Y,0.00174, Angle,-0.11
ML,0.12, MR,1.24, Pitch,3.7, Yaw,100000025.4, Roll,-0.29, Distance,-0.07468, X,-0.07469, Y,0.00175, Angle,0.34
ML,0.88, MR,3.77, Pitch,3.78, Yaw,100000024.85, Roll,-0.3, Distance,-0.07319, X,-0.0732, Y,0.00177, Angle,0.97
ML,4.69, MR,5.66, Pitch,3.71, Yaw,100000025.24, Roll,-0.3, Distance,-0.07181, X,-0.07183, Y,0.00179, Angle,0.51
ML,-0.13, MR,0.28, Pitch,3.53, Yaw,100000025.58, Roll,-0.3, Distance,-0.06975, X,-0.06977, Y,0.0018, Angle,0.17
ML,1.05, MR,1.29, Pitch,3.68, Yaw,100000025.67, Roll,-0.3, Distance,-0.06941, X,-0.06942, Y,0.0018, Angle,0
ML,-0.35, MR,2.34, Pitch,3.63, Yaw,100000025.1, Roll,-0.31, Distance,-0.06723, X,-0.06725, Y,0.00182, Angle,0.63
ML,3.11, MR,2.68, Pitch,3.66, Yaw,100000025.71, Roll,-0.33, Distance,-0.06689, X,-0.0669, Y,0.00182, Angle,-0.11
ML,-1.03, MR,0.47, Pitch,3.41, Yaw,100000025.41, Roll,-0.33, Distance,-0.06448, X,-0.0645, Y,0.00182, Angle,0.06
ML,1.39, MR,2.1, Pitch,3.75, Yaw,100000025.58, Roll,-0.33, Distance,-0.0638, X,-0.06381, Y,0.00182, Angle,0.28
ML,0.7, MR,4.03, Pitch,3.72, Yaw,100000024.77, Roll,-0.34, Distance,-0.06185, X,-0.06186, Y,0.00185, Angle,1.02
ML,1.19, MR,2.44, Pitch,3.52, Yaw,100000025.06, Roll,-0.34, Distance,-0.06025, X,-0.06026, Y,0.00187, Angle,0.45
ML,-0.42, MR,0.33, Pitch,3.43, Yaw,100000025.28, Roll,-0.35, Distance,-0.05922, X,-0.05923, Y,0.00188, Angle,0.28
ML,-1.19, MR,-0.04, Pitch,3.54, Yaw,100000025.25, Roll,-0.34, Distance,-0.05761, X,-0.05762, Y,0.00189, Angle,0.28
ML,-1.93, MR,-0.84, Pitch,3.72, Yaw,100000025.3, Roll,-0.34, Distance,-0.05612, X,-0.05614, Y,0.0019, Angle,0.34
ML,2.52, MR,3.74, Pitch,3.72, Yaw,100000025.32, Roll,-0.34, Distance,-0.05486, X,-0.05488, Y,0.00191, Angle,0.51
ML,0.33, MR,4.12, Pitch,3.59, Yaw,100000024.28, Roll,-0.35, Distance,-0.05326, X,-0.05327, Y,0.00194, Angle,1.31
ML,0.91, MR,4.04, Pitch,3.69, Yaw,100000024.13, Roll,-0.34, Distance,-0.05131, X,-0.05133, Y,0.00199, Angle,1.48
ML,-0.1, MR,0.16, Pitch,3.53, Yaw,100000025.03, Roll,-0.33, Distance,-0.04948, X,-0.04949, Y,0.00201, Angle,0.68
ML,1.8, MR,3.04, Pitch,3.56, Yaw,100000025.11, Roll,-0.34, Distance,-0.04833, X,-0.04835, Y,0.00203, Angle,0.68
ML,-0.81, MR,1.63, Pitch,3.36, Yaw,100000024.85, Roll,-0.35, Distance,-0.04673, X,-0.04674, Y,0.00205, Angle,0.68
ML,2.58, MR,2.25, Pitch,3.58, Yaw,100000025.7, Roll,-0.34, Distance,-0.04662, X,-0.04663, Y,0.00205, Angle,-0.06
ML,-0.55, MR,1.46, Pitch,3.5, Yaw,100000025.17, Roll,-0.36, Distance,-0.04513, X,-0.04514, Y,0.00206, Angle,0.57
ML,1.01, MR,3.14, Pitch,3.7, Yaw,100000025.1, Roll,-0.35, Distance,-0.04513, X,-0.04514, Y,0.00206, Angle,0.57
ML,3.68, MR,5.37, Pitch,4, Yaw,100000025.14, Roll,-0.36, Distance,-0.0449, X,-0.04491, Y,0.00206, Angle,0.57
ML,1.79, MR,3.32, Pitch,3.55, Yaw,100000025.14, Roll,-0.37, Distance,-0.04146, X,-0.04148, Y,0.0021, Angle,0.57
ML,0.13, MR,1.1, Pitch,3.39, Yaw,100000025.46, Roll,-0.38, Distance,-0.04032, X,-0.04033, Y,0.0021, Angle,0.34
ML,-0.05, MR,1.04, Pitch,3.38, Yaw,100000025.5, Roll,-0.39, Distance,-0.03974, X,-0.03976, Y,0.00211, Angle,0.28
ML,-0.15, MR,1.34, Pitch,3.55, Yaw,100000025.46, Roll,-0.39, Distance,-0.03952, X,-0.03953, Y,0.00211, Angle,0.28
ML,2.52, MR,3.91, Pitch,3.79, Yaw,100000025.49, Roll,-0.39, Distance,-0.03952, X,-0.03953, Y,0.00211, Angle,0.28
ML,0.99, MR,2.03, Pitch,3.78, Yaw,100000025.77, Roll,-0.41, Distance,-0.03814, X,-0.03815, Y,0.00211, Angle,-0.06
ML,3.73, MR,2.96, Pitch,3.64, Yaw,100000026.11, Roll,-0.41, Distance,-0.03688, X,-0.0369, Y,0.00211, Angle,-0.34
ML,-2.23, MR,1.43, Pitch,3.26, Yaw,100000025.07, Roll,-0.43, Distance,-0.03516, X,-0.03518, Y,0.00211, Angle,0.51
ML,-0.45, MR,-0.37, Pitch,3.43, Yaw,100000025.63, Roll,-0.43, Distance,-0.03551, X,-0.03552, Y,0.00211, Angle,-0.11
ML,-1.25, MR,0.2, Pitch,3.46, Yaw,100000025.48, Roll,-0.44, Distance,-0.03436, X,-0.03438, Y,0.00211, Angle,0.23
