ML,-0.22, MR,0.67, Pitch,3.73, Distance,-0.08625, Angle,0.06
ML,1.33, MR,1.54, Pitch,3.74, Distance,-0.08407, Angle,-0.11
ML,2.33, MR,3.67, Pitch,3.69, Distance,-0.0827, Angle,0
ML,-0.73, MR,-0.35, Pitch,3.45, Distance,-0.07972, Angle,-0.11
ML,1.6, MR,1.97, Pitch,3.75, Distance,-0.07915, Angle,-0.17
ML,1.34, MR,3.14, Pitch,3.6, Distance,-0.0772, Angle,0.23
ML,-0.57, MR,0.26, Pitch,3.43, Distance,-0.07582, Angle,-0.11
ML,0.12, MR,1.24, Pitch,3.7, Distance,-0.07468, Angle,0.34
ML,0.88, MR,3.77, Pitch,3.78, Distance,-0.07319, Angle,0.97
ML,4.69, MR,5.66, Pitch,3.71, Distance,-0.07181, Angle,0.51
ML,-0.13, MR,0.28, Pitch,3.53, Distance,-0.06975, Angle,0.17
ML,1.05, MR,1.29, Pitch,3.68, Distance,-0.06941, Angle,0
ML,-0.35, MR,2.34, Pitch,3.63, Distance,-0.06723, Angle,0.63
ML,3.11, MR,2.68, Pitch,3.66, Distance,-0.06689, Angle,-0.11
ML,-1.03, MR,0.47, Pitch,3.41, Distance,-0.06448, Angle,0.06
ML,1.39, MR,2.1, Pitch,3.75, Distance,-0.0638, Angle,0.28
ML,0.7, MR,4.03, Pitch,3.72, Distance,-0.06185, Angle,1.02
ML,1.19, MR,2.44, Pitch,3.52, Distance,-0.06025, Angle,0.45
ML,-0.42, MR,0.33, Pitch,3.43, Distance,-0.05922, Angle,0.28
ML,-1.19, MR,-0.04, Pitch,3.54, Distance,-0.05761, Angle,0.28
ML,-1.93, MR,-0.84, Pitch,3.72, Distance,-0.05612, Angle,0.34
ML,2.52, MR,3.74, Pitch,3.72, Distance,-0.05486, Angle,0.51
ML,0.33, MR,4.12, Pitch,3.59, Distance,-0.05326, Angle,1.31
ML,0.91, MR,4.04, Pitch,3.69, Distance,-0.05131, Angle,1.48
ML,-0.1, MR,0.16, Pitch,3.53, Distance,-0.04948, Angle,0.68
ML,1.8, MR,3.04, Pitch,3.56, Distance,-0.04833, Angle,0.68
ML,-0.81, MR,1.63, Pitch,3.36, Distance,-0.04673, Angle,0.68
ML,2.58, MR,2.25, Pitch,3.58, Distance,-0.04662, Angle,-0.06
ML,-0.55, MR,1.46, Pitch,3.5, Distance,-0.04513, Angle,0.57
ML,1.01, MR,3.14, Pitch,3.7, Distance,-0.04513, Angle,0.57
ML,3.68, MR,5.37, Pitch,4, Distance,-0.0449, Angle,0.57
ML,1.79, MR,3.32, Pitch,3.55, Distance,-0.04146, Angle,0.57
ML,0.13, MR,1.1, Pitch,3.39, Distance,-0.04032, Angle,0.34
ML,-0.05, MR,1.04, Pitch,3.38, Distance,-0.03974, Angle,0.28
ML,-0.15, MR,1.34, Pitch,3.55, Distance,-0.03952, Angle,0.28
ML,2.52, MR,3.91, Pitch,3.79, Distance,-0.03952, Angle,0.28
ML,0.99, MR,2.03, Pitch,3.78, Distance,-0.03814, Angle,-0.06
ML,3.73, MR,2.96, Pitch,3.64, Distance,-0.03688, Angle,-0.34
ML,-2.23, MR,1.43, Pitch,3.26, Distance,-0.03516, Angle,0.51
ML,-0.45, MR,-0.37, Pitch,3.43, Distance,-0.03551, Angle,-0.11
ML,-1.25, MR,0.2, Pitch,3.46, Distance,-0.03436, Angle,0.23
ML,-1.4, MR,-0.18, Pitch,3.47, Distance,-0.03413, Angle,-0.11
ML,1.67, MR,1.52, Pitch,3.75, Distance,-0.03413, Angle,-0.11
ML,-0.58, MR,1.89, Pitch,3.57, Distance,-0.03333, Angle,0.28
ML,0.43, MR,2.11, Pitch,3.67, Distance,-0.03276, Angle,0.57
ML,1.54, MR,3.68, Pitch,3.74, Distance,-0.03276, Angle,0.57
ML,-1.34, MR,1.38, Pitch,3.58, Distance,-0.03081, Angle,0.97
ML,1.13, MR,1.14, Pitch,3.55, Distance,-0.03047, Angle,0.11
ML,-0.49, MR,1.06, Pitch,3.41, Distance,-0.03012, Angle,0.17
ML,-0.8, MR,-0.73, Pitch,3.47, Distance,-0.03001, Angle,-0.34
ML,0.32, MR,0.44, Pitch,3.61, Distance,-0.02978, Angle,-0.23
ML,-0.19, MR,0.84, Pitch,3.61, Distance,-0.02978, Angle,-0.34
ML,0.39, MR,0.84, Pitch,3.63, Distance,-0.02978, Angle,-0.34
ML,0.05, MR,1.4, Pitch,3.63, Distance,-0.02978, Angle,-0.34
ML,-0.07, MR,0.99, Pitch,3.65, Distance,-0.02921, Angle,-0.06
ML,1.24, MR,2.7, Pitch,3.73, Distance,-0.02909, Angle,0
ML,2.57, MR,3.69, Pitch,3.89, Distance,-0.02898, Angle,0.06
ML,0.42, MR,3.08, Pitch,3.67, Distance,-0.02737, Angle,0.85
ML,0.91, MR,4.78, Pitch,3.62, Distance,-0.02669, Angle,1.19
